"OBJECTID","ID_0","ISO","NAME_0","ID_1","NAME_1","ID_2","NAME_2","ID_3","NAME_3","TYPE_3","ENGTYPE_3","NL_NAME_3","VARNAME_3"
15,174,"PAN","Panama",1,"Bocas del Toro",3,"Chiriquí Grande",15,"Rambala","Corregimiento","Municipality",NA,NA
16,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",16,"Alanje","Corregimiento","Municipality",NA,NA
17,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",17,"Divalá","Corregimiento","Municipality",NA,NA
18,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",18,"El Tejar","Corregimiento","Municipality",NA,NA
19,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",19,"Guarumal","Corregimiento","Municipality",NA,NA
20,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",20,"Palo Grande","Corregimiento","Municipality",NA,NA
21,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",21,"Querévalo","Corregimiento","Municipality",NA,NA
22,174,"PAN","Panama",2,"Chiriquí",4,"Alanje",22,"Santo Tomás","Corregimiento","Municipality",NA,NA
23,174,"PAN","Panama",2,"Chiriquí",5,"Barú",23,"Baco","Corregimiento","Municipality",NA,NA
24,174,"PAN","Panama",2,"Chiriquí",5,"Barú",24,"Limones","Corregimiento","Municipality",NA,NA
25,174,"PAN","Panama",2,"Chiriquí",5,"Barú",25,"Progreso","Corregimiento","Municipality",NA,NA
26,174,"PAN","Panama",2,"Chiriquí",5,"Barú",26,"Puerto Armuelles","Corregimiento","Municipality",NA,NA
27,174,"PAN","Panama",2,"Chiriquí",5,"Barú",27,"Rodolfo Aguilar Delgado","Corregimiento","Municipality",NA,NA
28,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",28,"Bágala","Corregimiento","Municipality",NA,NA
29,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",29,"Boquerón","Corregimiento","Municipality",NA,NA
30,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",30,"Cordillera","Corregimiento","Municipality",NA,NA
31,174,"PAN","Panama",2,"Chiriquí",6,"Boquerón",31,"Guabal","Corregimiento","Municipality",NA,NA
